system:index,total_precipitation_hourly
20110113T08,6.625038664307247E-4
20110113T09,3.4181210240071956E-4
20110113T10,2.175869519363372E-4
20110113T11,2.0915573452548613E-4
20110113T12,2.1521121103735148E-4
20110113T13,2.7420086961458927E-4
20110113T14,1.4402299764300992E-4
20110113T15,1.414285766222475E-4
20110113T16,1.8412868815840996E-4
20110113T17,2.0884364089138093E-4
20110113T18,1.8392393376372114E-4
20110113T19,2.8797441427657857E-4
20110113T20,3.0437659064185826E-4
20110113T21,2.5537394600298264E-4
20110113T22,1.0657543813932335E-4
20110113T23,1.1926488949770642E-4
20110114T00,1.356958915049201E-4
20110114T01,7.135260669203104E-5
20110114T02,3.2171437021189115E-5
20110114T03,1.5771416010327388E-5
20110114T04,2.0255220496829113E-5
20110114T05,3.271604899749746E-5
20110114T06,3.846355103461742E-5
20110114T07,1.8395626272739268E-5
20110114T08,1.614102886921615E-5
20110114T09,2.361911208197271E-5
20110114T10,2.9583042271170035E-5
20110114T11,2.9440748924010447E-5
20110114T12,2.5977233070409552E-5
20110114T13,1.34711296658998E-5
20110114T14,2.6363067733130396E-6
20110114T15,2.6754376862997454E-6
20110114T16,4.914022060297675E-6
20110114T17,7.153003197923295E-6
20110114T18,1.2942169045274234E-5
20110114T19,3.426580946045504E-5
20110114T20,1.247876600590587E-4
20110114T21,4.140159575025123E-4
20110114T22,8.243903531367414E-4
20110114T23,9.559900498034216E-4
20110115T00,7.403453959216173E-4
20110115T01,2.799088455509077E-4
20110115T02,8.1550767851712E-5
20110115T03,3.934823768740881E-5
20110115T04,3.2686490023456835E-5
20110115T05,2.287964428069345E-5
20110115T06,1.6415136896483483E-5
20110115T07,1.7647971145665688E-5
20110115T08,2.0781807652066773E-5
20110115T09,1.1218393693487236E-5
20110115T10,7.244061532417606E-6
20110115T11,6.092138508935374E-6
20110115T12,2.797335138611119E-7
20110115T13,1.6944626862272138E-7
20110115T14,6.183765911556974E-8
20110115T15,6.49625703833702E-8
20110115T16,1.6253865561642321E-7
20110115T17,3.0214998397989624E-7
20110115T18,5.893637286738507E-7
20110115T19,1.4056500739727964E-7
20110115T20,8.039097700576318E-8
20110115T21,3.484139472342846E-7
20110115T22,8.540707151331138E-7
20110115T23,1.0669910421396349E-6
20110116T00,1.1969872722662345E-6
20110116T01,2.757156304227231E-6
20110116T02,4.187838998505354E-6
20110116T03,5.610368270522496E-6
20110116T04,6.148960024987545E-6
20110116T05,8.722281835601125E-6
