system:index,total_evaporation_hourly
20110119T22,3.1470876002616174E-6
20110119T23,1.5802306565279103E-6
20110120T00,2.1630884482671742E-6
20110120T01,-2.6312255863660476E-6
20110120T02,-3.4642265182886405E-6
20110120T03,-5.340431736118176E-6
20110120T04,-5.154378702095299E-6
20110120T05,-4.2481685759958264E-6
20110120T06,-2.935513490322294E-6
20110120T07,-4.3094022261896E-6
20110120T08,-4.706914985264552E-6
20110120T09,-1.6311445176644565E-5
20110120T10,-3.781819573711604E-5
20110120T11,-5.794908727215367E-5
20110120T12,-7.039761554151108E-5
20110120T13,-6.921213729595958E-5
20110120T14,-5.9850989279171776E-5
20110120T15,-4.5334151160689614E-5
20110120T16,-1.8896790512331003E-5
20110120T17,-7.468133712667257E-6
20110120T18,-5.678898841540148E-6
20110120T19,-1.3347657586158874E-6
20110120T20,-1.4593203489438919E-6
20110120T21,-1.3362929491204142E-6
20110120T22,-2.2119676420801144E-6
20110120T23,-4.319482442432449E-6
20110121T00,-4.285129927699816E-6
20110121T01,-3.836783414909067E-6
20110121T02,-4.080686183516628E-6
20110121T03,-3.259533800405262E-6
20110121T04,-4.656775045186609E-6
20110121T05,-5.494933435474658E-6
20110121T06,-5.955236280587417E-6
20110121T07,-5.620939292846502E-6
20110121T08,-7.0681894549566665E-6
20110121T09,-1.9275576419288847E-5
20110121T10,-3.579410136847401E-5
20110121T11,-5.269269033946916E-5
20110121T12,-6.795392645942666E-5
20110121T13,-6.828621142158413E-5
20110121T14,-5.9381792839759874E-5
20110121T15,-4.294022729022079E-5
20110121T16,-1.8774448699095406E-5
20110121T17,-5.635638867558211E-6
20110121T18,-4.364208833701168E-6
20110121T19,-4.799164120767615E-6
20110121T20,-3.960956754289036E-6
20110121T21,-4.2651564216297966E-6
20110121T22,-3.69923799268781E-6
20110121T23,-3.4665009545764233E-6
20110122T00,-3.1772368469162507E-6
20110122T01,-2.6826607366600746E-6
20110122T02,-2.083934268591074E-6
20110122T03,-2.084648158094523E-6
20110122T04,-1.8406677909615337E-6
20110122T05,-1.940216754370745E-6
20110122T06,-1.5588833778766399E-6
20110122T07,-1.8185152290614596E-6
20110122T08,-2.160478639393914E-6
20110122T09,-8.724288229725926E-6
20110122T10,-2.2160466313732106E-5
20110122T11,-3.5996096222171926E-5
20110122T12,-3.610493322580112E-5
20110122T13,-4.408762407019448E-5
20110122T14,-4.1594610060046136E-5
20110122T15,-3.1300092109017145E-5
20110122T16,-1.5216409772460336E-5
20110122T17,-4.320471846516605E-6
20110122T18,-2.226678383257057E-6
20110122T19,-1.4351862971958628E-6
20110122T20,-1.4184946165455307E-6
20110122T21,-1.3730032887804192E-6
20110122T22,-1.2576669990245103E-6
20110122T23,-1.3153501653180978E-6
20110123T00,-9.741288146519158E-7
20110123T01,-9.311773097128118E-7
20110123T02,-7.312191291438584E-7
20110123T03,-7.519494755410446E-7
20110123T04,-8.164407608776805E-7
20110123T05,-4.6945850567723365E-7
20110123T06,-6.907955628397533E-7
20110123T07,-7.853615602276815E-7
20110123T08,-7.777801446547205E-7
20110123T09,-3.6053630531912833E-6
20110123T10,-8.862004732580006E-6
20110123T11,-1.659708995637116E-5
20110123T12,-1.8529655626185434E-5
