system:index,ET
2014_06_02,266.18510376861224
2014_06_10,258.3910228514841
2014_06_18,247.30811675625242
2014_06_26,201.68757623949026
2014_07_04,208.9791800006884
2014_07_12,254.23005840570457
2014_07_20,241.03051462206216
2014_07_28,230.35476673425669
2014_08_05,208.5407869066393
2014_08_13,167.4565784425028
2014_08_21,174.6472306017063
2014_08_29,184.7203036699564
2014_09_06,167.87306973399618
2014_09_14,149.5681466626163
2014_09_22,125.35354923606597
2014_09_30,121.97597652127844
2014_10_08,83.68187867555643
2014_10_16,74.35844191021617
2014_10_24,65.88705989090974
2014_11_01,42.861137864559666
2014_11_09,36.806283141249374
2014_11_17,34.239020774716444
2014_11_25,24.843113116656255
2014_12_03,22.373010481699602
2014_12_11,21.976750205483434
2014_12_19,22.226815189129944
2014_12_27,12.105906375261076
2015_01_01,19.841630479745657
2015_01_09,30.131111161333475
2015_01_17,30.16107030162066
2015_01_25,19.496097391999538
2015_02_02,34.097670517545424
2015_02_10,45.80064050244625
2015_02_18,48.547800984843434
2015_02_26,60.03113927785398
2015_03_06,71.18928155092584
2015_03_14,87.23073793930276
2015_03_22,87.81375934033726
2015_03_30,88.21017982076681
2015_04_07,127.56975725851812
2015_04_15,140.54501021292435
2015_04_23,149.27282928969774
2015_05_01,179.00730428520342
2015_05_09,211.42256589116081
2015_05_17,223.51529601003023
2015_05_25,217.7782017971249
2015_06_02,315.187610062664
2015_06_10,272.6489730031332
2015_06_18,231.2505467631132
2015_06_26,282.0416468265533
2015_07_04,241.7339997053091
2015_07_12,214.7621704247776
2015_07_20,213.08059778897353
2015_07_28,184.3885729762188
2015_08_05,201.8208238212961
2015_08_13,170.93642508698287
2015_08_21,178.9619824941691
2015_08_29,175.6702432628125
2015_09_06,136.07969744126487
2015_09_14,140.14030504997604
2015_09_22,117.16801354947677
2015_09_30,99.3470181603513
2015_10_08,71.9580340102267
2015_10_16,60.32894546757071
2015_10_24,48.51213707853876
2015_11_01,50.8291699270885
2015_11_09,40.87907259529064
2015_11_17,36.93365384350614
2015_11_25,29.045841081969385
2015_12_03,24.58243563057884
2015_12_11,22.877162329117883
2015_12_19,32.72589130081201
2015_12_27,16.749152665986145
2016_01_01,20.28938609619447
2016_01_09,23.05156560269592
2016_01_17,29.56774257839998
2016_01_25,36.77700024408118
2016_02_02,35.421756709704454
2016_02_10,34.08978681510028
2016_02_18,40.39373548153478
2016_02_26,43.622331220951914
2016_03_05,60.05440754933823
2016_03_13,77.71218575338479
2016_03_21,88.39562882207156
2016_03_29,106.20342748728206
2016_04_06,125.92134587150147
2016_04_14,141.5290260120068
2016_04_22,114.94801737152049
2016_04_30,198.90482341465497
2016_05_08,217.022971172964
2016_05_16,211.01919569283135
2016_05_24,234.08536169371345
2016_06_01,273.1181654130268
